频率		单词
--------------
14		the
14		a
9		puma
8		in
6		and
6		it
6		to
5		of
4		was
4		from
4		were
4		The
4		for
4		that
4		at
3		experts
3		cat
3		not
3		saw
3		large
3		been
3		had
3		is
3		like
3		away
2		miles
2		people
2		have
2		seen
2		animals
2		hunt
2		small
2		where
2		found
2		wild
2		It
2		but
2		began
2		are
2		London
2		Zoo
2		five
2		one
2		place
2		went
2		on
2		animal
1		confirmed
1		by
1		south
1		who
1		claimed
1		When
1		they
1		extraordinarily
1		similar
1		reports
1		came
1		taken
1		village
1		seriously
1		woman
1		picking
1		blackberries
1		However
1		only
1		yards
1		as
1		her
1		into
1		immediately
1		ran
1		when
1		she
1		evidence
1		Pumas
1		spotted
1		will
1		attack
1		human
1		being
1		unless
1		accumulate
1		cornered
1		search
1		proved
1		difficult
1		forty
1		often
1		observed
1		which
1		felt
1		obliged
1		morning
1		another
1		twenty
1		evening
1		Wherever
1		investigate
1		left
1		behind
1		trail
1		dead
1		deer
1		rabbits
1		Paw
1		prints
1		number
1		places
1		fur
1		clinging
1		bushes
1		Several
1		complained
1		noises
1		night
1		businessman
1		America
1		fishing
1		trip
1		up
1		tree
1		now
1		fully
1		convinced
1		descriptions
1		given
1		come
1		As
1		no
1		pumas
1		reported
1		missing
1		any
1		zoo
1		country
1		this
1		must
1		possession
1		private
1		collector
1		somehow
1		managed
1		escape
1		several
1		weeks
1		caught
1		disturbing
1		think
1		dangerous
1		still
1		quiet
1		countryside
